846061733627983158,2016
7495575114272842950,2016
8977118153447472691,2016
17681670771854019563,2016
5940016311369346421,2016
6995405162766506334,2016
17402380908958229792,2016
9742878280625075544,2016
13197937880931927864,2016
9327146910153788280,2016
1529244475861507984,2016
8759692167927552241,1516
5357394489145277980,1516
14622947635585344185,1016
1444860788252970644,1516
14886301617739959206,2016
3204004652770212928,2016
4068565564481180646,2016
12629795472857063804,2016
8045143907464653768,1516
14100904513889514230,2016
9659121176111056666,2016
1815879529546125091,2016
14349156925553682733,1516
17234108683583653343,1000
16736093213986877355,1000
8295103144381465436,1000
3199883192383124065,1000
7591277177484595526,1000
14405564283650883312,1000
4367263167065707387,2016
1024471318093583139,2016
5350653589101337741,1516
17750866372338686764,2016
14364532146000242906,2016
16048680341174813986,1000
17159198855998064432,524
8046935267556233859,1000
13118594665176121024,1000
13337253886315571505,2016
9554685826853767948,1000
14490419894603718424,1016
5279748136096126699,1008
2067161290465496889,1016
4088942145803445207,516
11920879780201896318,1000
305558865057644144,1000
9568398293007642700,1000
17676878435999384320,1016
15183903413802979299,1016
7682719879978878043,1008
9806770078785098515,1016
8424714356105014785,2016
3888083349508263867,101008
1080325672227336959,101008
12073173763729367408,1000
12499187311431040446,1516
16799199126393227682,1516
7134070702798802837,1516
6502629365302812945,1000
2218291006463892967,2016
1486465008603284351,2016
14551011851279403248,2016
761011255794961018,2016
1305220812420564748,2016
6194569686298986352,2016
4669340494772653650,2016
17029736135658092533,2016
17249032621783235156,2008
8485851265693555309,2008
18383784736990510123,2008
